Time resolution is 1 ps
[3358000 ns] sample #630: 25832(0x64e8). 
[3383000 ns] sample #635: 28706(0x7022). 
[3408000 ns] sample #640: 30783(0x783f). 
[3433000 ns] sample #645: 32176(0x7db0). 
[3458000 ns] sample #650: 32745(0x7fe9). 
[3483000 ns] sample #655: 32521(0x7f09). 
[3508000 ns] sample #660: 31470(0x7aee). 
[3533000 ns] sample #665: 29706(0x740a). 
[3558000 ns] sample #670: 27133(0x69fd). 
[3583000 ns] sample #675: 24007(0x5dc7). 
[3608000 ns] sample #680: 20159(0x4ebf). 
[3633000 ns] sample #685: 15800(0x3db8). 
[3658000 ns] sample #690: 11228(0x2bdc). 
[3683000 ns] sample #695: 6195(0x1833). 
[3708000 ns] sample #700: 1206(0x4b6). 
[3733000 ns] sample #705: -4011(0xf055). 
[3758000 ns] sample #710: -9126(0xdc5a). 
[3783000 ns] sample #715: -13828(0xc9fc). 
[3808000 ns] sample #720: -18371(0xb83d). 
[3833000 ns] sample #725: -22301(0xa8e3). 
[3858000 ns] sample #730: -25832(0x9b18). 
[3883000 ns] sample #735: -28706(0x8fde). 
[3908000 ns] sample #740: -30783(0x87c1). 
[3933000 ns] sample #745: -32176(0x8250). 
[3958000 ns] sample #750: -32745(0x8017). 
[3983000 ns] sample #755: -32521(0x80f7). 
[4008000 ns] sample #760: -31470(0x8512). 
[4033000 ns] sample #765: -29706(0x8bf6). 
[4058000 ns] sample #770: -27133(0x9603). 
[4083000 ns] sample #775: -24007(0xa239). 
[4108000 ns] sample #780: -20159(0xb141). 
[4133000 ns] sample #785: -15800(0xc248). 
[4158000 ns] sample #790: -11228(0xd424). 
[4183000 ns] sample #795: -6195(0xe7cd). 
[4208000 ns] sample #800: -1206(0xfb4a). 
[4233000 ns] sample #805: 4011(0xfab). 
[4258000 ns] sample #810: 9126(0x23a6). 
[4283000 ns] sample #815: 13828(0x3604). 
[4308000 ns] sample #820: 18371(0x47c3). 
[4333000 ns] sample #825: 22301(0x571d). 
[4358000 ns] sample #830: 25832(0x64e8). 
[4383000 ns] sample #835: 28706(0x7022). 
[4408000 ns] sample #840: 30783(0x783f). 
[4433000 ns] sample #845: 32176(0x7db0). 
[4458000 ns] sample #850: 32745(0x7fe9). 
[4483000 ns] sample #855: 32521(0x7f09). 
[4508000 ns] sample #860: 31470(0x7aee). 
[4533000 ns] sample #865: 29706(0x740a). 
[4558000 ns] sample #870: 27133(0x69fd). 
[4583000 ns] sample #875: 24007(0x5dc7). 
[4608000 ns] sample #880: 20159(0x4ebf). 
[4633000 ns] sample #885: 15800(0x3db8). 
[4658000 ns] sample #890: 11228(0x2bdc). 
[4683000 ns] sample #895: 6195(0x1833). 
[4708000 ns] sample #900: 1206(0x4b6). 
[4733000 ns] sample #905: -4011(0xf055). 
[4758000 ns] sample #910: -9126(0xdc5a). 
[4783000 ns] sample #915: -13828(0xc9fc). 
[4808000 ns] sample #920: -18371(0xb83d). 
[4833000 ns] sample #925: -22301(0xa8e3). 
[4858000 ns] sample #930: -25832(0x9b18). 
[4883000 ns] sample #935: -28706(0x8fde). 
[4908000 ns] sample #940: -30783(0x87c1). 
[4933000 ns] sample #945: -32176(0x8250). 
